Dept,Number,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
ME,370,Mechanical Engineering Design,21,28,14,4,1,1,0,0,0,1,Subramanian
ME,380,Manufacturing Process Princ,9,42,22,9,0,0,0,0,0,1,Abiade
ME,397,Senior Design Il,63,5,0,0,0,0,0,0,0,0,Brown
ME,397,Senior Design Il,56,16,1,0,0,0,0,0,0,0,Komperda
ME,408,Intermed Vibration Theory,12,10,1,1,0,0,0,0,0,5,Shabana
ME,415,Propulsion Theory,9,5,2,0,0,0,0,0,0,0,Brezinsky
ME,422,Heating Vent&Air Conditioning,43,29,6,0,0,2,0,0,0,0,Ryan
ME,428,Numerical Methods in ME,18,22,29,1,1,0,0,0,0,2,Aggarwal
ME,450,Air Pollution Engineering,34,7,4,1,0,0,0,0,0,0,Manafzadeh
ME,497,Undergrad Sen Design Thesis II,17,0,0,0,0,0,0,0,0,0,Komperda
ME,499,Prof Development Seminar,0,0,0,0,0,0,0,94,0,3,Darabi
ME,502,Applied Stress Analysis II,5,1,2,0,0,0,0,0,0,2,Hatami Marbini
ME,504,Computer Analysis/Mult Syst I,6,8,0,0,0,0,0,0,0,2,Shabana
ME,511,Mechatronics II,15,13,0,0,0,0,0,0,0,1,Cetin
ME,512,Automatic Control of Mech Syst,11,7,0,0,0,1,1,0,0,1,Cetin
ME,547,Adv Concepts/Comptr-Aided Engr,21,6,0,0,1,0,0,0,0,0,Naghshineh
ME,594,3D Space Print/Addivt/Manuf,24,12,0,1,0,0,0,0,0,0,Pan
ME,594,Energy Storage,6,9,0,0,0,0,0,0,0,0,Shahbazian-Yassar
ME,594,Intro to Micro Fluids,20,6,2,0,0,0,0,0,0,0,Xu
ME,595,Mechanical Engineering Seminar,0,0,0,0,0,0,0,194,6,1,Scott
ME,599,PhD Thesis Research,0,0,0,0,0,0,0,10,0,0,Shahbazian-Yassar
MENG,401,Engineering Management,11,0,0,0,0,0,0,0,0,0,Wolfman
